Sad,Artist,Album
Channa Mereya,"Arijit Singh, Pritam Chakraborty",Ae Dil Hai Mushkil
Kabira,Arijith Singh,Yeh Jawaani Hai Deewani
Aaj Ro Len De,"Shaarib Sabri, Toshi Sabri",1920 London
Aankhon Mein Aansoon,"Palak Muchhal, Yasser Desai",Ek Hassena Thi Ek Deewana Tha
Ae Dil Hai Mushkil,Arijith Singh,Ae Dil Hai Mushkil
Musafir,Palak Muchhal,Sweetiee Weds NRI
Bekhayali,Sachet Tandon,Kabir Sing
Hold ON,Chord Overstreet,Chord Overstreet
Jo Bheji Thi Duaa,"Nandini Srikar, Arijit Singh",Shanghai
Fix You,Cold play,X & Y
Without Me,Halsey,manic
lonely,"Justin Bieber, Benny Blanco",Justice
Lut Gaye,"Jubin Nautiyal, Manoj Muntashir ft. Emraan Hashmi",Lut Gaye-Single
Someone You Loved,Lewis Capaldi,Divinely Uninspired to a hellish extent
traitor,Olivia Rodrigo,Sour
Let her go,Passenger ,All the little Lights
zaroorat,Mustafa Zahid,ek villain
See You Again,Wiz khalifa ft. Charlie Puth,most Wanted
Lose You To Love Me,Selena Gomez,Rare
The Xpose Dard Dilo Ke,"Mohammed irfan, Neeti Mohan",The Xpose
sad song,We the kings ft. Elena Coats,Somewhere Somehow
